id;nazwisko;ulica;telefon;dupa
69;Kostro;Rajska;660 511 168;
70;Kiciak;Zielna;+48 509 826 938;
71;Drążyk;Broniewskiego;572 673 629;
72;Startek;Cmentarna;731 481 348;
73;Wenzel;Wolności;510 101 672;
74;Ulewicz;Gałczynskiego;+48 729 950 770;
75;Chwała;Wąska;+48 662 669 687;
76;Araszkiewicz;Tulipanowa;512 172 955;
77;Głuszko;Jana Sobieskiego;+48 576 467 372;
78;Grabas;Letnia;+48 882 797 662;
79;Gryszkiewicz;Zakole;+48 729 554 408;
80;Pędzik;Letniskowa;22 678 13 16;
81;Torbus;Kolonia;503 018 180;
82;Kohut;Starowiejska;571 707 346;
83;Nazarewicz;Opolska;+48 501 178 958;
84;Gronkiewicz;Mostowa;785 061 750;
85;Bembenek;Kilińskiego;881 726 833;
86;Deryło;Konwaliowa;+48 609 192 010;
87;Makieła;Południowa;+48 573 925 393;
88;Czerkies;Południowa;+48 790 449 944;
89;Budniak;Andersa;22 867 23 65;
90;Simon;Maja;+48 518 778 198;
91;Natanek;Poznańska;+48 723 593 633;
92;Błaziak;Wiejska;+48 602 003 597;
93;Suszko;Czereśniowa;729 544 740;
94;Winnik;Turystyczna;+48 570 547 849;
95;Majak;Kalinowa;+48 516 536 414;
96;Siemion;Cisowa;+48 504 323 348;
97;Grubba;Reymonta;+48 500 874 228;
98;Klęk;Źródlana;798 981 719;
99;Jaroszuk;Jadwigi;+48 518 743 137;
100;Demiańczuk;Tylna;780 879 768;
101;Sadlak;Gałczynskiego;+48 532 703 885;
102;Kazberuk;Browarna;32 890 63 50;
103;Hanusiak;Pogodna;+48 732 247 736;
104;Łapaj;Jarzębinowa;731 153 266;
105;Woszczyna;Lazurowa;22 433 70 29;
106;Jażdżyk;Jagiellońska;+48 22 045 81 95;
107;Dzidek;Zapolskiej;669 560 823;
108;Stypuła;Szpitalna;+48 506 830 097;
109;Delikat;Zbożowa;605 367 338;
110;Nogieć;Wąska;607 736 530;
111;Huber;Wspólna;+48 32 294 79 38;
112;Cyba;Kilińskiego;+48 889 204 892;
113;Ośka;Tysiąclecia;797 895 714;
114;Stochaj;Północna;536 244 510;
115;Giers;Robotnicza;+48 530 492 063;
116;Borkiewicz;Nałkowskiej;+48 785 337 346;
117;Kowara;Sucharskiego;722 417 132;
118;Dębniak;Staszica;+48 602 380 286;
119;Pik;Klasztorna;510 833 024;
120;Gustaw;Staffa;+48 880 652 538;
121;Adrian;Jeżynowa;+48 572 750 003;
122;Żywica;Borowa;516 209 726;
123;Idzi;Daszyńskiego;+48 532 563 226;
124;Jarczak;Mickiewicza;609 993 649;
125;Hyjek;Górna;792 355 052;
126;Bojczuk;Drzymały;609 755 619;
127;Fornalik;Słonecznikowa;789 653 686;
128;Kilar;Diamentowa;+48 885 557 144;
129;Trochim;Bydgoska;509 132 484;
130;Truchan;Armii Krajowej;505 554 067;
131;Lemiesz;Krótka;+48 791 048 349;
132;Cłapa;Szeroka;+48 608 858 182;
133;Lubera;Słonecznikowa;787 884 051;
134;Miodek;Wieniawskiego;32 131 64 77;
135;Buksa;Tysiąclecia;+48 500 774 300;
136;Podeszwa;Krakowska;730 296 102;
137;Franczuk;Rzemieślnicza;736 653 810;
138;Pancerz;Błękitna;790 453 218;
139;Salawa;Powstańców;519 856 419;
140;Czerner;Perłowa;885 102 387;
141;Lepka;Magnoliowa;22 255 88 10;
142;Kiepura;Śląska;514 584 140;
143;Organiściak;Kolonia;+48 793 852 744;
144;Muzyk;Głogowa;+48 790 315 453;
145;Bytner;Jodłowa;+48 509 603 998;
146;Owsianka;Morcinka;+48 501 304 695;
147;Sadłocha;Słonecznikowa;887 270 228;
148;Mrozowicz;Borowa;722 350 655;
149;Dziadkowiec;Rynek;532 729 548;
150;Kycia;Czereśniowa;+48 576 189 851;
151;Cimoch;Jagodowa;+48 502 611 330;
152;Pielech;Reymonta;517 826 323;
153;Breś;Czarnieckiego;+48 724 776 696;
154;Korpal;Orzechowa;+48 22 773 01 45;
155;Zadworny;Wrocławska;515 157 514;
156;Kiełbowicz;Jana Pawła II;+48 576 927 473;
157;Młyńczyk;Zielona;539 335 135;
158;Mieloch;Wyszyńskiego;22 404 16 02;
159;Suchora;Konarskiego;605 782 760;
160;Wiekiera;Kraszewskiego;727 678 528;
161;Feret;Sucharskiego;+48 518 905 315;
162;Kochman;Sokola;785 209 705;
163;Hulbój;Storczykowa;+48 571 454 027;
164;Wojtyś;Władysława Łokietka;+48 699 206 991;
165;Galos;Krańcowa;+48 603 500 117;
166;Malon;Wiklinowa;32 450 74 65;
167;Różak;Klasztorna;+48 732 598 803;
168;Kasak;Hallera;+48 666 851 514;
169;Hajdas;Letniskowa;+48 738 778 974;
170;Kopyto;Kaliska;516 260 516;
171;Graś;Wrocławska;+48 728 591 120;
172;Lipok;Wojciecha;+48 692 177 353;
173;Bobel;Podleśna;+48 738 470 365;
174;Indyka;Jana;22 621 34 15;
175;Gniewek;Kossaka;+48 882 620 849;
176;Paszkowiak;Krzywa;+48 570 296 414;
177;Zachwieja;Poprzeczna;+48 732 781 190;
178;Domińczak;Nadrzeczna;500 480 865;
179;Kraszkiewicz;Boczna;508 687 944;
180;Siergiej;Okrężna;+48 572 155 191;
181;Makulec;Kielecka;+48 723 576 402;
182;Banyś;Głowackiego;605 987 993;
183;Fedorczyk;Sowia;697 361 463;
184;Sereda;Bolesława Chrobrego;+48 662 750 946;
185;Kuba;Jaśminowa;735 022 055;
186;Małycha;Azaliowa;785 761 286;
187;Nalewajek;Piekarska;+48 22 952 59 38;
188;Pusz;Miarki;+48 22 720 47 80;
189;Raźny;Narcyzowa;669 459 178;
190;Majdan;Miła;+48 693 570 354;
191;Jędrasiak;Żeromskiego;889 944 032;
192;Kamieniarz;Podwale;783 948 746;
193;Sito;Sawickiej;731 484 492;
194;Kryszczuk;Handlowa;+48 32 700 85 69;
195;Morcinek;Broniewskiego;+48 514 841 399;
196;Satora;Hutnicza;578 002 431;
197;Wysota;Rynek;695 365 267;
198;Jarmuż;Konopnickiej;+48 725 733 228;
199;Kulis;Popiełuszki;668 232 255;
200;Maciejko;Środkowa;734 573 995;
201;Torbus;Sienkiewicza;+48 888 878 814;
202;Starościak;Owocowa;+48 603 532 895;
203;Budkiewicz;Cmentarna;+48 539 123 845;
204;Krysta;Okrzei;607 435 459;
205;Wizner;Kochanowskiego;+48 665 223 961;
206;Banachowicz;Słonecznikowa;539 671 244;
207;Wszoła;Wolności;786 143 080;
208;Maciejewicz;Ceglana;+48 32 420 80 30;
209;Makles;Leśna;880 749 998;
210;Gasek;Traugutta;+48 797 847 900;
211;Strycharz;Myśliwska;+48 695 925 780;
212;Chuchla;Władysława Łokietka;+48 606 896 681;
213;Cłapa;Miła;783 475 819;
214;Jambor;Zamkowa;+48 722 938 695;
215;Fraszczyk;Lotnicza;881 554 186;
216;Bródka;Kazimierza Wielkiego;796 230 545;
217;Martyn;Błękitna;+48 570 953 237;
218;Babij;Fiołkowa;+48 662 324 805;
219;Szczepaniuk;Jaworowa;+48 574 234 000;
220;Kurant;Piaskowa;606 907 490;
221;Brózda;Rolna;531 108 008;
222;Trzmiel;Broniewskiego;+48 881 029 575;
223;Wielgat;Grabowa;22 524 78 32;
224;Witos;Nowa;+48 533 648 025;
225;Bojczuk;Spokojna;602 345 251;
226;Szpila;Owocowa;532 551 395;
227;Drela;Spółdzielcza;888 898 945;
228;Cuch;Konstytucji 3 Maja;+48 509 279 223;
229;Minkina;Wesoła;+48 605 750 137;
230;Stranc;Rolna;+48 605 175 419;
231;Sadowy;Bankowa;+48 517 159 928;
232;Kominiak;Powstańców;512 514 373;
233;Łuczkiewicz;Sportowa;22 114 26 19;
234;Rduch;Orkana;691 919 801;
235;Wawrzeńczyk;Asnyka;+48 532 148 239;
236;Szołtysik;Topolowa;787 559 473;
237;Koniecko;Sportowa;+48 721 351 788;
238;Kwoka;Zielna;+48 886 180 686;
239;Magier;Bydgoska;666 005 459;
240;Lichoń;Podleśna;511 508 073;
241;Hynek;Powstańców Śląskich;694 918 289;
242;Beśka;Nałkowskiej;+48 516 109 010;
243;Obiała;Baczynskiego;+48 500 294 856;
244;Niesporek;Ludowa;733 575 059;
245;Łapaj;Matejki;+48 789 658 823;
246;Skutnik;Kosynierów;22 188 10 21;
247;Klinkosz;Żytnia;738 375 859;
248;Kazimierczyk;Lipowa;694 534 346;
249;Stryjek;Stroma;+48 501 653 120;
250;Dyczko;Okrzei;783 157 006;
251;Dzika;Starowiejska;738 035 062;
252;Głowiak;Traugutta;+48 669 048 718;
253;Gałach;Powstańców Śląskich;534 410 124;
254;Osipiuk;Rejtana;+48 787 828 602;
255;Kochanowicz;Makuszyńskiego;515 588 507;
256;Chwalisz;Promienna;787 806 022;
257;Pokusa;Orzeszkowej;791 417 054;
258;Kołaczek;Staffa;+48 699 392 751;
259;Figat;Reja;884 724 490;
260;Steuer;Nadrzeczna;+48 723 707 074;
261;Ceran;Wrocławska;603 721 503;
262;Łudzik;Jeżynowa;579 770 333;
263;Kaczka;Ściegiennego;22 017 20 79;
264;Labudda;Rajska;505 523 646;
265;Wołoch;Łabędzia;+48 519 821 689;
266;Parafiniuk;Bursztynowa;694 529 963;
267;Rochowiak;Powstańców Wielkopolskich;575 092 554;
268;Laskus;Wyzwolenia;+48 22 035 63 77;
269;Fura;Podmiejska;698 015 169;
270;Dziadkiewicz;Parkowa;+48 609 945 364;
271;Leoniuk;Borówkowa;32 979 37 01;
272;Ekert;Wiśniowa;662 390 903;
273;Dudzicz;Kaszubska;+48 515 220 332;
274;Famuła;Pomorska;+48 600 078 191;
275;Chlebda;Wąska;537 734 115;
276;Goś;Przemysłowa;783 791 949;
277;Kość;Działkowa;+48 22 910 15 09;
278;Garncarz;Królewska;663 266 917;
279;Siemieniec;Kolorowa;662 455 074;
280;Pasich;Stolarska;32 795 27 74;
281;Marko;Bolesława Chrobrego;+48 533 001 186;
282;Przewłoka;Kwiatowa;+48 736 792 316;
283;Żakiewicz;Zielona;32 826 75 70;
284;Leśny;Orzechowa;+48 667 874 162;
285;Kudra;Reymonta;695 025 786;
286;Sypuła;Jana Pawła II;502 525 611;
287;Pawełko;Wyspiańskiego;796 046 378;
288;Gozdur;Zamkowa;+48 575 404 185;
289;Namysł;Kusocińskiego;+48 609 092 326;
290;Matusewicz;Zielna;662 991 378;
291;Bodych;Piwna;+48 22 774 07 23;
292;Szymocha;Tęczowa;+48 32 628 02 51;
293;Konat;Jaskółcza;720 909 657;
294;Gebauer;Cedrowa;+48 603 951 626;
295;Kosidło;Częstochowska;517 036 659;
296;Szkatuła;Willowa;606 066 133;
297;Tadeusiak;Norwida;660 990 650;
298;Latuszek;Wesoła;720 552 510;
299;Bąbol;Bociania;+48 602 939 211;
300;Osiadacz;Skłodowskiej-Curie;+48 795 895 555;
301;Mytnik;Mazurska;+48 32 256 21 85;
302;Karaśkiewicz;Paderewskiego;+48 668 192 341;
303;Księżak;Wojska Polskiego;+48 788 864 076;
304;Nastały;Sadowa;22 829 12 83;
305;Białk;Broniewskiego;+48 697 942 506;
306;Stępka;Zakole;+48 512 648 273;
307;Labus;Parkowa;509 668 161;
308;Hanas;Piłsudskiego;500 155 235;
309;Panicz;Jasna;+48 605 882 356;
310;Żakiewicz;Harcerska;+48 691 581 381;
311;Kozieja;Jana;514 363 998;
312;Idzi;Ludowa;+48 500 003 360;
313;Balawender;Porzeczkowa;736 847 352;
314;Wołkowicz;Kowalska;572 192 645;
315;Wiercigroch;Kosynierów;510 040 558;
316;Sibiga;Wiklinowa;513 097 179;
317;Wincenciak;Sienkiewicza;726 074 805;
318;Jaskóła;Nadrzeczna;22 270 97 76;
319;Kwapisiewicz;Robotnicza;+48 506 981 620;
320;Januszewicz;Drzymały;791 541 391;
321;Wikło;Stroma;+48 571 370 373;
322;Neubauer;Południowa;+48 534 609 741;
323;Mszyca;Krótka;514 052 845;
324;Getka;Powstańców Wielkopolskich;517 036 814;
325;Kurz;Skłodowskiej-Curie;+48 22 271 04 86;
326;Frydel;Rynek;+48 517 955 587;
327;Doktór;Nałkowskiej;513 245 285;
328;Lukas;Sucharskiego;+48 576 340 220;
329;Kulis;Młynarska;+48 662 324 685;
330;Klin;Szarych Szeregów;723 176 736;
331;Dzikiewicz;Letnia;+48 883 343 217;
332;Wojniak;Urocza;+48 22 986 84 16;
333;Trzos;Kossaka;+48 518 769 979;
334;Janc;Górna;+48 886 040 973;
335;Drygała;Sarnia;32 828 23 82;
336;Gustaw;Mazowiecka;32 638 17 79;
337;Pachla;Wiązowa;570 550 771;
338;Mieszała;Kochanowskiego;+48 531 644 933;
339;Twardosz;Tęczowa;+48 799 813 950;
340;Jędrak;Polna;+48 22 081 78 53;
341;Podeszwa;Sybiraków;509 675 804;
342;Olkowicz;Willowa;+48 881 781 309;
343;Staniaszek;Skrajna;+48 738 780 616;
344;Hałat;Polna;+48 603 879 688;
345;Gabryel;Storczykowa;732 162 329;
346;Mzyk;Rycerska;+48 577 701 722;
347;Różewicz;Stawowa;+48 888 122 767;
348;Misior;Wiatraczna;22 646 71 95;
349;Galuba;Dąbrowskiej;+48 786 851 675;
350;Pawlaczek;Słoneczna;+48 505 984 952;
351;Muzyk;Bukowa;32 717 46 95;
352;Sykała;Chopina;+48 881 301 416;
353;Potoczek;Wyspiańskiego;664 893 316;
354;Filiks;Jana III Sobieskiego;+48 571 592 284;
355;Staś;Bolesława Chrobrego;694 856 743;
356;Jędral;Żwirki i Wigury;+48 516 095 780;
357;Lademann;Stolarska;608 800 036;
358;Mirga;Bursztynowa;+48 735 043 641;
359;Glazer;Krokusowa;739 681 763;
360;Kupidura;Nałkowskiej;533 651 764;
361;Majdak;Zacisze;+48 785 329 335;
362;Walocha;Podmiejska;+48 665 008 623;
363;Jany;Leszczynowa;736 475 519;
364;Borzym;Podgórna;+48 720 186 309;
365;Białous;Strumykowa;+48 799 021 073;
366;Pabisiak;Krasickiego;+48 782 977 552;
367;Fitrzyk;Batalionów Chłopskich;+48 796 808 245;
368;Parkitny;Fabryczna;+48 519 186 675;
369;Machowiak;Wiklinowa;+48 690 789 200;
370;Rozmiarek;Okulickiego;+48 22 445 08 50;
371;Dziadowicz;Krańcowa;+48 500 309 503;
372;Ziemann;Jagiellońska;518 517 416;
373;Mazik;Krzywa;508 743 267;
374;Furgał;Składowa;+48 667 319 778;
375;Hinca;Letniskowa;726 500 829;
376;Gumuła;Kasprowicza;+48 889 037 316;
377;Jędrasiak;Krańcowa;795 052 583;
378;Rejmer;Stolarska;+48 883 445 829;
379;Samiec;Krokusowa;+48 605 550 004;
380;Banek;Turkusowa;518 375 310;
381;Prasek;Plater;537 205 898;
382;Cylwik;Śląska;502 704 528;
383;Piesik;Szeroka;669 187 314;
384;Bojdo;Młyńska;510 021 233;
385;Szela;Krzywa;+48 887 320 866;
386;Sroga;Piękna;+48 729 779 430;
387;Martyka;Żwirki i Wigury;+48 732 390 015;
388;Morcinek;Konstytucji 3 Maja;+48 32 329 92 95;
389;Leoniuk;Powstańców Śląskich;666 796 541;
390;Nazarewicz;Zamkowa;601 824 825;
391;Herda;Zamkowa;+48 797 757 073;
392;Huszcza;Orla;+48 696 419 989;
393;Machniak;Kowalska;607 833 087;
394;Achtelik;Łanowa;784 908 987;
395;Knych;Strzelecka;+48 572 948 657;
396;Plizga;Szewska;784 448 818;
397;Czenczek;Matejki;+48 883 436 808;
398;Podsiedlik;Kochanowskiego;579 998 132;
399;Stoltmann;Jabłoniowa;+48 22 355 32 13;
400;Kunert;Kolonia;881 068 036;
401;Ścibisz;Kilińskiego;602 439 959;
402;Zawodnik;Żeglarska;+48 729 051 945;
403;Perlik;Kaszubska;882 728 382;
404;Pelka;Stolarska;502 193 600;
405;Borejko;Radosna;604 268 723;
406;Pytko;Kalinowa;666 197 406;
407;Wójcikiewicz;Poniatowskiego;+48 607 884 114;
408;Zbroja;Sienkiewicza;+48 574 501 778;
409;Sendor;Pułaskiego;+48 732 300 246;
410;Miętka;Wiosenna;22 549 61 44;
411;Zaniewicz;Rolna;+48 609 114 362;
412;Majnusz;Czereśniowa;668 800 110;
413;Pałgan;Tysiąclecia;539 959 742;
414;Machul;Makuszyńskiego;781 915 184;
415;Łokietek;Gołębia;22 536 78 74;
416;Grund;Stroma;787 720 967;
417;Ostręga;Lwowska;724 054 571;
418;Boruń;Kusocińskiego;791 862 782;
419;Suchoń;Andersa;+48 722 358 786;
420;Machowiak;Solidarnosci;606 345 894;
421;Stawowczyk;Wiślana;+48 515 523 578;
422;Jakóbiak;Bolesława Chrobrego;606 501 026;
423;Huczek;Strażacka;+48 663 616 817;
424;Juszczuk;Jana Pawła II;668 253 295;
425;Kujawiak;Tuwima;603 883 826;
426;Krysta;Nowowiejska;+48 538 694 248;
427;Nogieć;Bema;886 837 324;
428;Sommer;Lipowa;+48 511 928 905;
429;Okła;Ciasna;732 060 196;
430;Krysta;Gołębia;662 526 958;
431;Olas;Gdańska;662 057 275;
432;Liśkiewicz;Zacisze;+48 22 427 70 76;
433;Burczak;Piaskowa;+48 692 092 460;
434;Linke;Sadowa;697 629 459;
435;Iwanow;Niepodległości;+48 794 313 470;
436;Ważny;Klonowa;+48 32 940 72 76;
437;Barłóg;Brzechwy;+48 726 565 254;
438;Wiercigroch;Młyńska;+48 726 532 530;
439;Franków;Polna;886 150 834;
440;Żmija;Kochanowskiego;+48 785 563 742;
441;Kapral;Tęczowa;32 827 74 76;
442;Surdel;Kolorowa;571 355 967;
443;Kabala;Drzymały;+48 32 386 30 30;
444;Duczek;Opolska;723 176 072;
445;Tyniec;Wodna;22 523 72 67;
446;Bandyk;Pułaskiego;732 260 985;
447;Staś;Długosza;889 027 980;
448;Tokaj;Stefana Batorego;+48 793 142 606;
449;Kurpisz;Kusocińskiego;+48 513 697 408;
450;Bieszke;Młyńska;+48 601 977 829;
451;Łudzik;Lubelska;732 774 164;
452;Geisler;Łabędzia;+48 881 085 830;
453;Jędrusiak;Majowa;726 127 035;
454;Dziewa;Krótka;+48 505 020 287;
455;Wszoła;Zaułek;+48 691 135 184;
456;Kośnik;Malczewskiego;+48 513 608 050;
457;Fitrzyk;Strzelecka;+48 537 611 775;
458;Zawodnik;Rolna;+48 729 705 618;
459;Hawro;Ciasna;690 025 885;
460;Neska;Majowa;883 564 446;
461;Taciak;Morska;530 872 589;
462;Boksa;Wolności;+48 578 357 413;
463;Szela;Władysława Łokietka;+48 600 568 784;
464;Sacharczuk;Torowa;32 316 67 95;
465;Wiencek;Krasińskiego;889 218 791;
466;Widłak;Polna;+48 727 336 369;
467;Sutor;Niepodległości;+48 512 363 160;
468;Pawela;Akacjowa;+48 572 620 351;
469;Czylok;Świerczewskiego;798 234 845;
470;Koziatek;Średnia;736 583 938;
471;Wożniak;Azaliowa;531 170 152;
472;Flisek;Bema;+48 509 197 295;
473;Soliwoda;Makowa;+48 32 032 78 65;
474;Fołta;Powstańców Wielkopolskich;+48 519 127 695;
475;Koloch;Lipca;+48 570 606 203;
476;Malon;Jeziorna;+48 535 250 230;
477;Majnusz;Jaśminowa;603 475 623;
478;Księżak;Jeziorna;+48 504 192 674;
479;Kiełbowicz;Źródlana;537 045 041;
480;Walenciak;Prusa;603 087 711;
481;Deluga;Szmaragdowa;+48 606 766 140;
482;Bugla;Rolna;+48 503 243 784;
483;Dylik;Matejki;789 670 972;
484;Wons;Morska;+48 693 377 524;
485;Kozdra;Kazimierza Wielkiego;732 678 891;
486;Buszka;Wesoła;789 965 973;
487;Rajchel;Toruńska;+48 530 621 179;
488;Pelka;Letnia;22 799 78 59;
489;Herbut;Słoneczna;+48 725 504 627;
490;Galos;Przemysłowa;22 256 93 02;
491;Świergiel;Handlowa;+48 503 225 242;
492;Staniczek;Poprzeczna;32 144 26 68;
493;Rembisz;Wysoka;600 613 031;
494;Kustosz;Lotnicza;+48 32 088 05 22;
495;Orzeszek;Okulickiego;+48 721 005 117;
496;Pysz;Orzechowa;+48 727 548 252;
497;Gryga;Gołębia;728 269 475;
498;Denkiewicz;Targowa;+48 735 256 008;
499;Latoszek;Liliowa;+48 728 157 835;
500;Wojtoń;Konarskiego;+48 512 784 744;
501;Pizoń;Kazimierza Wielkiego;697 936 898;
502;Odrzywołek;Tuwima;+48 22 732 48 48;
503;Szczesiak;Łanowa;+48 504 211 485;
504;Trepczyk;Wilcza;+48 725 526 585;
505;Sobuś;Bociania;608 153 286;
506;Zawodnik;Górska;+48 883 990 806;
507;Przewoźny;Maja;+48 662 554 138;
508;Luks;Kusocińskiego;+48 22 252 71 12;
509;Rosołek;Hallera;+48 572 086 593;
510;Stachów;Nadbrzeżna;32 828 02 06;
511;Mądrzak;Kołłątaja;+48 608 503 659;
512;Kojder;Łanowa;+48 662 340 926;
513;Kuryś;Kowalska;531 190 741;
514;Mitoraj;Chopina;+48 694 039 673;
515;Fiedoruk;Wiosenna;+48 577 949 992;
516;Kondej;Tuwima;+48 32 466 73 16;
517;Godzisz;Bursztynowa;661 970 741;
518;Mendyka;Jana Sobieskiego;+48 32 756 77 09;
519;Bisaga;Solidarnosci;+48 509 416 516;
520;Linek;Gdańska;732 698 152;
521;Hajdasz;Zakątek;32 003 25 47;
522;Migała;Bałtycka;+48 502 020 677;
523;Budzeń;Łąkowa;+48 694 575 217;
524;Chomiak;Konstytucji 3 Maja;721 114 054;
525;Widuch;Górna;+48 791 792 727;
526;Gąbka;Tęczowa;+48 601 441 849;
527;Kapcia;Makuszyńskiego;603 388 990;
528;Leśna;Sawickiej;+48 574 660 771;
529;Hanc;Środkowa;+48 502 087 629;
530;Melka;Towarowa;519 213 490;
531;Narożny;Wiklinowa;+48 789 054 885;
532;Niewola;Średnia;514 424 685;
533;Mamcarz;Wyzwolenia;576 937 364;
534;Waloch;Radosna;+48 791 936 822;
535;Błądek;Szafirowa;728 395 727;
536;Bojczuk;Spacerowa;+48 537 230 642;
537;Suchora;Wojciecha;+48 730 852 992;
538;Romejko;Składowa;+48 734 875 956;
539;Witka;Kołłątaja;+48 517 220 955;
540;Waluk;Łączna;22 184 89 52;
541;Karpeta;Promienna;32 932 41 19;
542;Koźlak;Klasztorna;+48 576 788 784;
543;Żółkiewicz;Plażowa;530 382 130;
544;Kowalak;Sawickiej;+48 516 652 520;
545;Samiec;Rybacka;+48 22 174 64 26;
546;Kolarz;Składowa;500 804 566;
547;Zięcik;Wschodnia;725 325 983;
548;Szczesiak;Staffa;+48 661 534 124;
549;Brózda;Storczykowa;+48 604 589 112;
550;Bernatowicz;Kasztanowa;+48 799 716 154;
551;Skolik;Krasickiego;+48 574 579 999;
552;Kuchciak;Poziomkowa;+48 697 284 170;
553;Barcz;Wysoka;+48 503 383 167;
554;Neubauer;Towarowa;798 420 550;
555;Grzelec;Zielona;790 516 025;
556;Stachewicz;Konopnickiej;+48 532 178 728;
557;Miara;Żwirki i Wigury;790 396 931;
558;Bancerz;Spokojna;+48 22 306 74 95;
559;Wielgos;Głogowa;22 035 66 14;
560;Szramka;Kruczkowskiego;+48 503 367 063;
561;Jankowicz;Południowa;539 544 628;
562;Stelmasiak;Tuwima;608 823 579;
563;Chruszcz;Powstańców Śląskich;+48 518 085 443;
564;Garczarek;Azaliowa;+48 662 341 684;
565;Ułanowicz;Jaworowa;515 985 520;
566;Dolega;Przechodnia;535 734 278;
567;Rychcik;Willowa;532 696 088;
568;Kucab;Kolejowa;793 736 255;
569;Deneka;Przechodnia;+48 665 065 931;
570;Fechner;Jeziorna;+48 32 350 76 18;
571;Damek;Wojciecha;+48 579 959 763;
572;Zaguła;Kwiatowa;730 681 374;
573;Zimniak;Bolesława Chrobrego;+48 885 769 972;
574;Sobkiewicz;Witosa;579 813 837;
575;Kubina;Towarowa;22 216 94 13;
576;Kubów;Bolesława Chrobrego;721 407 836;
577;Ciuruś;Kielecka;+48 780 622 310;
578;Panasewicz;Miła;+48 22 454 53 42;
579;Kajstura;Narutowicza;+48 22 158 08 19;
580;Dawidek;Topolowa;+48 503 784 029;
581;Hankiewicz;Plater;506 425 589;
582;Kasperczak;Skargi;+48 32 768 10 47;
583;Wiszowata;Strażacka;734 322 322;
584;Linda;Boczna;+48 515 983 391;
585;Kołsut;Rycerska;509 856 181;
586;Bartoszak;Orzeszkowej;576 228 716;
587;Paśnik;Waryńskiego;+48 665 816 573;
588;Duchnik;Akacjowa;661 231 245;
589;Szumiec;Gdańska;+48 32 054 44 65;
590;Parda;Modrzewiowa;+48 782 185 831;
591;Mądro;Grunwaldzka;884 843 888;
592;Nóżka;Partyzantów;+48 573 378 172;
